population,fit,lwr,upr
45e3,1.0220501578372445,-1.0440872331935853,3.088187548868074
46e3,1.0297381486397144,-1.0363985120947503,3.095874809374179
47e3,1.0374261394421844,-1.0287098021775907,3.1035620810619595
48e3,1.0451141302446545,-1.0210211034421195,3.1112493639314285
49e3,1.0528021210471243,-1.0133324158883485,3.118936657982597
5e4,1.0604901118495942,-1.0056437395162878,3.126623963215476
51e3,1.0681781026520643,-0.9979550743259491,3.1343112796300776
52e3,1.0758660934545343,-0.9902664203173437,3.1419986072264123
53e3,1.0835540842570042,-0.9825777774904811,3.1496859460044897
54e3,1.0912420750594742,-0.9748891458453739,3.157373295964322
55e3,1.098930065861944,-0.9672005253820313,3.1650606571059194
56e3,1.1066180566644142,-0.959511916100463,3.1727480294292913
57e3,1.1143060474668842,-0.9518233180006797,3.180435412934448
58e3,1.121994038269354,-0.9441347310826915,3.1881228076214
59e3,1.129682029071824,-0.9364461553465082,3.195810213490156
6e4,1.137370019874294,-0.9287575907921384,3.2034976305407263
61e3,1.145058010676764,-0.9210690374195925,3.2111850587731205
62e3,1.152746001479234,-0.9133804952288787,3.2188724981873467
63e3,1.160433992281704,-0.9056919642200059,3.2265599487834136
64e3,1.1681219830841738,-0.8980034443929839,3.2342474105613315
65e3,1.1758099738866439,-0.8903149357478202,3.241934883521108
66e3,1.183497964689114,-0.8826264382845239,3.249622367662752
67e3,1.1911859554915838,-0.8749379520031033,3.257309862986271
68e3,1.1988739462940536,-0.8672494769035661,3.2649973694916734
69e3,1.2065619370965237,-0.8595610129859197,3.272684887178967
7e4,1.2142499278989938,-0.8518725602501727,3.28037241604816
71e3,1.2219379187014636,-0.8441841186963324,3.28805995609926
72e3,1.2296259095039337,-0.836495688324405,3.2957475073322726
73e3,1.2373139003064035,-0.8288072691343995,3.3034350697472066
74e3,1.2450018911088736,-0.8211188611263216,3.311122643344069
75e3,1.2526898819113437,-0.8134304643001782,3.3188102281228655
76e3,1.2603778727138135,-0.8057420786559766,3.326497824083604
77e3,1.2680658635162834,-0.7980537041937223,3.334185431226289
78e3,1.2757538543187534,-0.7903653409134215,3.3418730495509283
79e3,1.2834418451212235,-0.7826769888150813,3.3495606790575283
8e4,1.2911298359236933,-0.7749886478987069,3.357248319746094
81e3,1.2988178267261632,-0.7673003181643039,3.3649359716166303
82e3,1.3065058175286333,-0.7596119996118778,3.3726236346691443
83e3,1.3141938083311033,-0.7519236922414341,3.3803113089036407
84e3,1.3218817991335734,-0.7442353960529777,3.3879989943201245
85e3,1.3295697899360432,-0.7365471110465143,3.395686690918601
86e3,1.337257780738513,-0.7288588372220475,3.4033743986990737
87e3,1.3449457715409832,-0.7211705745795824,3.4110621176615488
88e3,1.3526337623434532,-0.7134823231191239,3.4187498478060303
89e3,1.360321753145923,-0.7057940828406759,3.4264375891325223
9e4,1.368009743948393,-0.6981058537442424,3.4341253416410282
91e3,1.375697734750863,-0.6904176358298271,3.441813105331553
92e3,1.383385725553333,-0.6827294290974342,3.4495008802041003
93e3,1.3910737163558031,-0.6750412335470664,3.4571886662586726
94e3,1.398761707158273,-0.6673530491787278,3.4648764634952736
95e3,1.4064496979607428,-0.6596648759924211,3.4725642719139067
96e3,1.4141376887632129,-0.6519767139881494,3.480252091514575
97e3,1.421825679565683,-0.6442885631659157,3.4879399222972816
98e3,1.4295136703681528,-0.6366004235257219,3.4956277642620277
99e3,1.4372016611706226,-0.6289122950675714,3.5033156174088167
1e5,1.4448896519730927,-0.6212241777914658,3.511003481737651
101e3,1.4525776427755628,-0.6135360716974065,3.518691357248532
